toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	data-filter	time
1	2	History of the debate	1	1	Race_and_intelligence	3287	History_of_the_debate	672230463	2015-07-20	2015-07-20	05:38:44Z
1	2	History of the debate	1	1	Race_and_intelligence	3253	History_of_the_debate	667681493	2015-06-19	2015-06-19	21:04:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3253	History_of_the_debate	665902550	2015-06-07	2015-06-07	15:41:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3253	History_of_the_debate	663448668	2015-05-21	2015-05-21	20:02:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	662749312	2015-05-17	2015-05-17	10:20:47Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	659505085	2015-04-27	2015-04-27	15:21:53Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	658958130	2015-04-24	2015-04-24	07:59:19Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	657441943	2015-04-21	2015-04-21	07:17:37Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	655956902	2015-04-11	2015-04-11	11:03:19Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	654751122	2015-04-03	2015-04-03	08:37:35Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	653890473	2015-03-28	2015-03-28	13:57:51Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	653485624	2015-03-25	2015-03-25	17:37:56Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	652833564	2015-03-21	2015-03-21	04:28:55Z
1	2	History of the debate	1	1	Race_and_intelligence	3205	History_of_the_debate	650264593	2015-03-07	2015-03-07	07:36:34Z
1	2	History of the debate	1	1	Race_and_intelligence	3209	History_of_the_debate	648264796	2015-02-22	2015-02-22	01:39:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3209	History_of_the_debate	644963425	2015-01-31	2015-01-31	09:18:09Z
1	2	History of the debate	1	1	Race_and_intelligence	3209	History_of_the_debate	644130227	2015-01-25	2015-01-25	18:11:11Z
1	2	History of the debate	1	1	Race_and_intelligence	3209	History_of_the_debate	640936930	2015-01-04	2015-01-04	12:27:43Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	637890061	2014-12-13	2014-12-13	09:51:49Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	635025779	2014-11-22	2014-11-22	23:16:23Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	634648604	2014-11-20	2014-11-20	04:33:18Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	634595265	2014-11-19	2014-11-19	21:14:34Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	634356764	2014-11-18	2014-11-18	10:13:37Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	634128246	2014-11-16	2014-11-16	21:18:11Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	630962146	2014-10-24	2014-10-24	18:19:31Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	628366467	2014-10-05	2014-10-05	18:43:37Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	628053442	2014-10-03	2014-10-03	07:40:52Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	627987518	2014-10-02	2014-10-02	19:00:42Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	625853207	2014-09-16	2014-09-16	19:33:50Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	625713526	2014-09-15	2014-09-15	20:16:37Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	625283381	2014-09-12	2014-09-12	20:06:03Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	625126659	2014-09-11	2014-09-11	18:42:41Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	624176839	2014-09-04	2014-09-04	16:41:10Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	623556894	2014-08-31	2014-08-31	09:55:35Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	622533421	2014-08-23	2014-08-23	23:53:50Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	622272712	2014-08-22	2014-08-22	00:49:00Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	622165334	2014-08-21	2014-08-21	07:47:18Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	621950863	2014-08-19	2014-08-19	18:48:10Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	621461421	2014-08-16	2014-08-16	08:20:52Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	620007118	2014-08-05	2014-08-05	20:52:52Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	619479202	2014-08-01	2014-08-01	22:12:16Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	619236935	2014-07-31	2014-07-31	04:15:25Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	619015513	2014-07-29	2014-07-29	19:16:34Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	618887700	2014-07-28	2014-07-28	23:21:28Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	617746948	2014-07-20	2014-07-20	19:56:31Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	617368817	2014-07-17	2014-07-17	20:50:33Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	617241782	2014-07-16	2014-07-16	23:09:05Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	617114910	2014-07-15	2014-07-15	23:55:02Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	616955153	2014-07-14	2014-07-14	19:58:25Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	616593179	2014-07-12	2014-07-12	00:13:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3180	History_of_the_debate	616542030	2014-07-11	2014-07-11	16:07:48Z
1	2	History of the debate	1	1	Race_and_intelligence	3169	History_of_the_debate	616454188	2014-07-10	2014-07-10	23:33:09Z
1	2	History of the debate	1	1	Race_and_intelligence	3169	History_of_the_debate	615971561	2014-07-07	2014-07-07	17:08:53Z
1	2	History of the debate	1	1	Race_and_intelligence	3168	History_of_the_debate	615813396	2014-07-06	2014-07-06	12:31:35Z
1	2	History of the debate	1	1	Race_and_intelligence	3168	History_of_the_debate	615634965	2014-07-05	2014-07-05	00:01:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3174	History_of_the_debate	615634309	2014-07-04	2014-07-04	23:51:17Z
1	2	History of the debate	1	1	Race_and_intelligence	3531	History_of_the_debate	615215938	2014-07-01	2014-07-01	22:27:12Z
1	2	History of the debate	1	1	Race_and_intelligence	3531	History_of_the_debate	612148130	2014-06-09	2014-06-09	00:44:18Z
1	2	History of the debate	1	1	Race_and_intelligence	3531	History_of_the_debate	610758426	2014-05-30	2014-05-30	07:42:27Z
1	2	History of the debate	1	1	Race_and_intelligence	3531	History_of_the_debate	609234938	2014-05-19	2014-05-19	13:18:41Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	609065117	2014-05-18	2014-05-18	08:05:48Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	607286273	2014-05-06	2014-05-06	06:13:04Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	606870221	2014-05-03	2014-05-03	07:50:58Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	606833530	2014-05-02	2014-05-02	23:17:34Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	605323470	2014-04-22	2014-04-22	17:24:25Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	605126834	2014-04-21	2014-04-21	09:35:20Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	602239544	2014-04-01	2014-04-01	08:48:04Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	599829547	2014-03-16	2014-03-16	07:12:23Z
1	2	History of the debate	1	1	Race_and_intelligence	3571	History_of_the_debate	598703857	2014-03-08	2014-03-08	15:59:25Z
